Id,Unnamed: 0,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBaths
23,22,20,RL,75.0,9742,Pave,No Alley,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4.0,3.0,1.0,Unf,GasA,5,Y,SBrkr,1795,3,4,7,Typ,1,4.0,Attchd,2002.0,RFn,2,534,3.0,3.0,Y,1,1,0,0,0,0,No Fence,No Shed,9,2008,WD,Normal,12.345834587905333,3572,2.0
24,23,120,RM,44.0,4224,Pave,No Alley,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4.0,3.0,1.0,GLQ,GasA,3,Y,SBrkr,1060,3,3,6,Typ,1,3.0,Attchd,1976.0,Unf,2,572,3.0,3.0,Y,1,1,0,0,0,0,No Fence,No Shed,6,2007,WD,Normal,11.774520202658689,2100,2.0
25,24,20,RL,71.0,8246,Pave,No Alley,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3.0,3.0,2.0,Rec,GasA,5,Y,SBrkr,1060,3,4,6,Typ,1,3.0,Attchd,1968.0,Unf,1,270,3.0,3.0,Y,1,1,0,0,0,0,MnPrv,No Shed,5,2010,WD,Normal,11.944707881395766,2120,2.0
26,25,20,RL,110.0,14230,Pave,No Alley,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4.0,3.0,1.0,Unf,GasA,5,Y,SBrkr,1600,3,4,7,Typ,1,4.0,Attchd,2007.0,RFn,3,890,3.0,3.0,Y,0,1,0,0,0,0,No Fence,No Shed,7,2009,WD,Normal,12.454103912352162,3166,2.0
27,26,20,RL,60.0,7200,Pave,No Alley,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,2.0,BLQ,GasA,3,Y,SBrkr,900,3,4,5,Typ,0,3.4610389610389616,Detchd,2005.0,Unf,2,576,3.0,3.0,Y,1,1,0,0,0,0,No Fence,No Shed,5,2010,WD,Normal,11.811547477460346,1800,1.5
28,27,20,RL,98.0,11478,Pave,No Alley,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5.0,3.0,1.0,GLQ,GasA,5,Y,SBrkr,1704,3,4,7,Typ,1,4.0,Attchd,2008.0,RFn,3,772,3.0,3.0,Y,0,1,0,0,0,0,No Fence,No Shed,5,2010,WD,Normal,12.631340380934516,3408,3.0
29,28,20,RL,47.0,16321,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3.0,4.0,BLQ,GasA,3,Y,SBrkr,1600,2,3,6,Typ,2,4.0,Attchd,1957.0,RFn,1,319,3.0,3.0,Y,1,1,0,0,0,0,No Fence,No Shed,12,2006,WD,Normal,12.24288661865289,3084,2.0
30,29,30,RM,60.0,6324,Pave,No Alley,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,1.0,Unf,GasA,2,N,SBrkr,520,1,2,4,Typ,0,3.4610389610389616,Detchd,1920.0,Unf,1,240,2.0,3.0,Y,1,0,1,0,0,0,No Fence,No Shed,5,2008,WD,Normal,11.134589024250317,1040,1.0
31,30,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3.0,3.0,1.0,Unf,GasA,3,N,SBrkr,1317,3,3,6,Typ,0,3.4610389610389616,Detchd,1920.0,Unf,1,250,3.0,2.0,N,0,1,1,0,0,0,MnPrv,No Shed,7,2008,WD,Normal,10.596634733096073,1966,1.0
32,31,20,RL,71.0,8544,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,1.0,Unf,GasA,4,Y,SBrkr,1228,3,4,6,Typ,0,3.4610389610389616,Attchd,1966.0,Unf,1,271,3.0,3.0,Y,0,1,0,0,0,0,MnPrv,No Shed,6,2008,WD,Normal,11.914047823644257,2456,1.5
33,32,20,RL,85.0,11049,Pave,No Alley,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5.0,3.0,3.0,Unf,GasA,5,Y,SBrkr,1234,3,4,7,Typ,0,3.4610389610389616,Attchd,2007.0,RFn,2,484,3.0,3.0,Y,0,1,0,0,0,0,No Fence,No Shed,1,2008,WD,Normal,12.100156419938624,2468,2.0
34,33,20,RL,70.0,10552,Pave,No Alley,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3.0,3.0,1.0,Rec,GasA,4,Y,SBrkr,1700,4,4,6,Typ,1,4.0,Attchd,1959.0,RFn,2,447,3.0,3.0,Y,0,1,0,0,0,0,No Fence,No Shed,4,2010,WD,Normal,12.016726473799254,3098,2.0
35,34,120,RL,60.0,7313,Pave,No Alley,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5.0,3.0,1.0,GLQ,GasA,5,Y,SBrkr,1561,2,5,6,Typ,1,4.0,Attchd,2005.0,Fin,2,556,3.0,3.0,Y,1,1,0,0,0,0,No Fence,No Shed,8,2007,WD,Normal,12.533576212168624,3122,3.0
36,35,60,RL,108.0,13418,Pave,No Alley,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5.0,3.0,3.0,Unf,GasA,5,Y,SBrkr,2452,4,4,9,Typ,1,4.0,BuiltIn,2004.0,Fin,3,691,3.0,3.0,Y,1,1,0,0,0,0,No Fence,No Shed,9,2006,WD,Normal,12.641096555879884,3569,3.5
37,36,20,RL,112.0,10859,Pave,No Alley,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,1.0,Unf,GasA,5,Y,SBrkr,1097,3,3,6,Typ,0,3.4610389610389616,Attchd,1995.0,Unf,2,672,3.0,3.0,Y,1,1,0,0,0,0,No Fence,No Shed,6,2009,WD,Normal,11.884489021402711,2194,1.5
38,37,20,RL,74.0,8532,Pave,No Alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3.0,3.0,1.0,Rec,GasA,4,Y,SBrkr,1297,3,3,5,Typ,1,3.0,Attchd,1954.0,Fin,2,498,3.0,3.0,Y,0,0,0,0,0,0,No Fence,No Shed,10,2009,WD,Normal,11.938193200374572,2594,1.5
39,38,20,RL,68.0,7922,Pave,No Alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,1.0,GLQ,GasA,3,Y,SBrkr,1057,3,4,5,Typ,0,3.4610389610389616,Detchd,1953.0,Unf,1,246,3.0,3.0,Y,0,1,0,0,0,0,No Fence,No Shed,1,2010,WD,Abnorml,11.599103161211278,2114,2.0
40,39,90,RL,65.0,6040,Pave,No Alley,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,3.5797610681658467,3.0112438510189734,1.6736990154711673,No Basement,GasA,3,N,FuseP,1152,2,2,6,Typ,0,3.4610389610389616,No Garage,1978.5061638868744,No Garage,0,0,2.975344452501813,2.9738941261783904,N,0,0,0,0,0,0,No Fence,No Shed,6,2008,WD,AdjLand,11.314474526246393,1152,2.0
41,40,20,RL,84.0,8658,Pave,No Alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3.0,3.0,1.0,Rec,GasA,5,Y,SBrkr,1324,3,3,6,Typ,1,3.0,Attchd,1965.0,RFn,2,440,3.0,3.0,Y,0,1,0,0,0,0,GdWo,No Shed,12,2006,WD,Abnorml,11.982929094215965,2412,2.0
42,41,20,RL,115.0,16905,Pave,No Alley,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,4.0,BLQ,GasA,4,Y,SBrkr,1328,2,3,5,Typ,2,4.0,Attchd,1959.0,RFn,1,308,3.0,3.0,P,0,1,0,0,0,0,No Fence,No Shed,7,2007,WD,Normal,12.0435537160324,2678,2.0
43,42,85,RL,66.5,9180,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4.0,3.0,3.0,ALQ,GasA,4,Y,SBrkr,884,2,4,5,Typ,0,3.4610389610389616,Attchd,1983.0,RFn,2,504,3.0,4.0,Y,1,0,0,0,0,0,MnPrv,No Shed,12,2007,WD,Normal,11.877568578558137,1724,2.0
44,43,20,RL,70.0,9200,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4.0,3.0,3.0,LwQ,GasA,3,Y,SBrkr,938,3,3,5,Typ,0,3.4610389610389616,Detchd,1977.0,Unf,1,308,3.0,3.0,Y,1,0,0,0,0,0,MnPrv,No Shed,7,2008,WD,Normal,11.777210959615614,1876,2.0
45,44,20,RL,70.0,7945,Pave,No Alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,ALQ,GasA,5,Y,FuseA,1150,3,3,6,Typ,0,3.4610389610389616,Attchd,1959.0,RFn,1,300,3.0,3.0,Y,0,0,0,0,0,0,No Fence,No Shed,5,2006,WD,Normal,11.856515169360303,2300,2.0
46,45,120,RL,61.0,7658,Pave,No Alley,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5.0,3.0,1.0,GLQ,GasA,5,Y,SBrkr,1752,2,5,6,Typ,1,4.0,Attchd,2005.0,RFn,2,576,3.0,3.0,Y,1,1,0,0,0,0,No Fence,No Shed,2,2010,WD,Normal,12.675763725937607,3504,3.0
47,46,50,RL,48.0,12822,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5.0,3.0,1.0,GLQ,GasA,5,Y,SBrkr,2149,1,4,6,Typ,1,5.0,Attchd,2003.0,RFn,2,670,3.0,3.0,Y,1,1,0,0,1,0,No Fence,No Shed,8,2009,WD,Abnorml,12.3870850123755,3583,2.5
48,47,20,FV,84.0,11096,Pave,No Alley,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,3.0,GLQ,GasA,5,Y,SBrkr,1656,3,4,7,Typ,0,3.4610389610389616,Attchd,2006.0,RFn,3,826,3.0,3.0,Y,0,1,0,0,0,0,No Fence,No Shed,7,2007,WD,Normal,12.428015476267865,3312,2.0
49,48,190,RM,33.0,4456,Pave,No Alley,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,1.0,Unf,GasA,4,Y,SBrkr,1452,2,3,8,Typ,0,3.4610389610389616,No Garage,1978.5061638868744,No Garage,0,0,2.975344452501813,2.9738941261783904,N,0,0,1,0,0,0,No Fence,No Shed,6,2009,New,Partial,11.635143097694476,2188,2.0
50,49,20,RL,66.0,7742,Pave,No Alley,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,1.0,BLQ,GasA,5,Y,SBrkr,955,3,3,6,Typ,0,3.4610389610389616,Attchd,1966.0,Unf,1,386,3.0,3.0,Y,0,0,0,0,0,0,MnPrv,No Shed,1,2007,WD,Normal,11.751942365440726,1910,2.0
51,50,60,RL,65.0,13869,Pave,No Alley,IR2,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,3.0,GLQ,GasA,4,Y,SBrkr,1470,3,3,6,Typ,0,3.4610389610389616,Attchd,1997.0,Fin,2,388,3.0,3.0,Y,0,1,0,0,0,0,No Fence,No Shed,7,2007,WD,Normal,12.083905011555967,2264,2.5
52,51,50,RM,52.0,6240,Pave,No Alley,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3.0,3.0,1.0,Unf,GasA,3,Y,SBrkr,1176,3,3,6,Typ,1,4.0,Detchd,1985.0,Unf,2,528,3.0,3.0,Y,1,0,0,0,0,0,MnPrv,Shed,9,2006,WD,Normal,11.648330101976432,1632,1.0
53,52,90,RM,110.0,8472,Grvl,No Alley,IR2,Bnk,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,3,CBlock,4.0,3.0,4.0,LwQ,GasA,3,N,SBrkr,816,2,3,5,Typ,0,3.4610389610389616,CarPort,1963.0,Unf,2,516,3.0,3.0,Y,1,0,0,0,0,0,No Fence,No Shed,5,2010,WD,Normal,11.608235644774554,1632,2.0
