,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFullBath,BsmtHalfBath,BsmtQual,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,Id,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
15,854,0,0,No Alley,2,1Fam,3,1,Unf,0.0,0.0,3,Y,Norm,Norm,FuseA,0,3,3,Wd Sdng,Wd Sdng,GdPrv,3.4429619746497666,0,BrkTil,1,Typ,576.0,2.0,3,Unf,3,Detchd,1991.0,854,0,GasA,5,1.5Unf,16,3,Lvl,Gtl,6120,Corner,51.0,Reg,45,RM,0.0,None,No Shed,7,BrkSide,1,8,7,Y,0,CompShg,Gable,Normal,11.790557201568507,WD,0,Pave,5,832.0,1,1929,2001,2007
16,1004,0,0,No Alley,2,1Fam,3,1,ALQ,1.0,0.0,3,Y,Norm,Norm,SBrkr,0,3,3,Wd Sdng,Wd Sdng,No Fence,3,1,CBlock,1,Typ,480.0,2.0,3,Fin,3,Attchd,1970.0,1004,0,GasA,5,1Story,17,3,Lvl,Gtl,11241,CulDSac,73.0,IR1,20,RL,180.0,BrkFace,Shed,3,NAmes,0,7,6,Y,0,CompShg,Gable,Normal,11.911701584927597,WD,0,Pave,5,1004.0,0,1970,1970,2010
17,1296,0,0,No Alley,2,Duplex,3.0028198801550934,1.6707789918928446,No Basement,0.0,0.0,3.576814658210007,Y,Norm,Norm,SBrkr,0,3,3,MetalSd,MetalSd,No Fence,3.4429619746497666,0,Slab,2,Typ,516.0,2.0,3,Unf,3,CarPort,1967.0,1296,0,GasA,3,1Story,18,3,Lvl,Gtl,10791,Inside,72.0,Reg,90,RL,0.0,None,Shed,10,Sawyer,0,5,4,Y,0,CompShg,Gable,Normal,11.407564949312402,WD,0,Pave,6,0.0,0,1967,1967,2006
18,1114,0,0,No Alley,3,1Fam,3,1,GLQ,1.0,0.0,3,Y,RRAe,Norm,SBrkr,0,3,3,VinylSd,VinylSd,No Fence,3.4429619746497666,0,PConc,1,Typ,576.0,2.0,3,Unf,3,Detchd,2004.0,1114,1,GasA,5,1Story,19,4,Lvl,Gtl,13695,Inside,66.0,Reg,20,RL,0.0,None,No Shed,6,SawyerW,1,5,5,Y,0,CompShg,Gable,Normal,11.976659481202368,WD,0,Pave,6,1114.0,0,2004,2004,2008
19,1339,0,0,No Alley,3,1Fam,3,1,LwQ,0.0,0.0,3,Y,Norm,Norm,SBrkr,0,3,3,BrkFace,Plywood,MnPrv,3.4429619746497666,0,CBlock,1,Min1,294.0,1.0,3,Unf,3,Attchd,1958.0,1339,0,GasA,3,1Story,20,3,Lvl,Gtl,7560,Inside,70.0,Reg,20,RL,0.0,None,No Shed,5,NAmes,0,6,5,Y,0,CompShg,Hip,Abnorml,11.842229212112828,COD,0,Pave,6,1029.0,0,1958,1965,2009
20,1158,1218,0,No Alley,4,1Fam,3,3,Unf,0.0,0.0,5,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4,1,PConc,3,Typ,853.0,3.0,3,RFn,3,BuiltIn,2005.0,2376,1,GasA,5,2Story,21,4,Lvl,Gtl,14215,Corner,101.0,IR1,60,RL,380.0,BrkFace,No Shed,11,NridgHt,1,5,8,Y,0,CompShg,Gable,Partial,12.692503112461443,New,0,Pave,9,1158.0,1,2005,2006,2006
21,1108,0,0,Grvl,3,1Fam,3,1,Unf,0.0,0.0,3,Y,Norm,Norm,FuseF,1,3,3,Wd Sdng,Wd Sdng,GdPrv,4,1,PConc,1,Typ,280.0,1.0,3,Unf,3,Attchd,1930.0,1108,0,GasA,5,1.5Unf,22,4,Bnk,Gtl,7449,Inside,57.0,Reg,45,RM,0.0,None,No Shed,6,IDOTRR,0,7,7,N,0,CompShg,Gable,Normal,11.845102777308561,WD,0,Pave,6,637.0,0,1930,1950,2007
22,1795,0,0,No Alley,3,1Fam,3,1,Unf,0.0,0.0,4,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4,1,PConc,2,Typ,534.0,2.0,3,RFn,3,Attchd,2002.0,1795,0,GasA,5,1Story,23,4,Lvl,Gtl,9742,Inside,75.0,Reg,20,RL,281.0,BrkFace,No Shed,9,CollgCr,1,5,8,Y,0,CompShg,Hip,Normal,12.345834587905333,WD,0,Pave,7,1777.0,1,2002,2002,2008
23,1060,0,0,No Alley,3,TwnhsE,3,1,GLQ,1.0,0.0,4,Y,Norm,Norm,SBrkr,0,3,3,CemntBd,CmentBd,No Fence,3,1,PConc,1,Typ,572.0,2.0,3,Unf,3,Attchd,1976.0,1060,0,GasA,3,1Story,24,3,Lvl,Gtl,4224,Inside,44.0,Reg,120,RM,0.0,None,No Shed,6,MeadowV,1,7,5,Y,0,CompShg,Gable,Normal,11.77452020265869,WD,0,Pave,6,1040.0,1,1976,1976,2007
24,1060,0,0,No Alley,3,1Fam,3,2,Rec,1.0,0.0,3,Y,Norm,Norm,SBrkr,0,4,3,Plywood,Plywood,MnPrv,3,1,CBlock,1,Typ,270.0,1.0,3,Unf,3,Attchd,1968.0,1060,0,GasA,5,1Story,25,4,Lvl,Gtl,8246,Inside,72.0,IR1,20,RL,0.0,None,No Shed,5,Sawyer,1,8,5,Y,0,CompShg,Gable,Normal,11.944707881395766,WD,0,Pave,6,1060.0,1,1968,2001,2010
25,1600,0,0,No Alley,3,1Fam,3,1,Unf,0.0,0.0,4,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4,1,PConc,2,Typ,890.0,3.0,3,RFn,3,Attchd,2007.0,1600,0,GasA,5,1Story,26,4,Lvl,Gtl,14230,Corner,110.0,Reg,20,RL,640.0,Stone,No Shed,7,NridgHt,1,5,8,Y,0,CompShg,Gable,Normal,12.454103912352162,WD,0,Pave,7,1566.0,0,2007,2007,2009
26,900,0,0,No Alley,3,1Fam,3,2,BLQ,0.0,1.0,3,Y,Norm,Norm,SBrkr,0,3,3,Wd Sdng,Wd Sdng,No Fence,3.4429619746497666,0,CBlock,1,Typ,576.0,2.0,3,Unf,3,Detchd,2005.0,900,0,GasA,3,1Story,27,4,Lvl,Gtl,7200,Corner,60.0,Reg,20,RL,0.0,None,No Shed,5,NAmes,1,7,5,Y,0,CompShg,Gable,Normal,11.811547477460344,WD,0,Pave,5,900.0,1,1951,2000,2010
27,1704,0,0,No Alley,3,1Fam,3,1,GLQ,1.0,0.0,5,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4,1,PConc,2,Typ,772.0,3.0,3,RFn,3,Attchd,2008.0,1704,0,GasA,5,1Story,28,4,Lvl,Gtl,11478,Inside,98.0,Reg,20,RL,200.0,Stone,No Shed,5,NridgHt,1,5,8,Y,0,CompShg,Gable,Normal,12.631340380934517,WD,0,Pave,7,1704.0,0,2007,2008,2010
28,1600,0,0,No Alley,2,1Fam,3,4,BLQ,1.0,0.0,3,Y,Norm,Norm,SBrkr,0,3,3,MetalSd,MetalSd,No Fence,4,2,CBlock,1,Typ,319.0,1.0,3,RFn,3,Attchd,1957.0,1600,0,GasA,3,1Story,29,3,Lvl,Gtl,16321,CulDSac,47.0,IR1,20,RL,0.0,None,No Shed,12,NAmes,1,6,5,Y,0,CompShg,Gable,Normal,12.24288661865289,WD,0,Pave,6,1484.0,1,1957,1997,2006
29,520,0,0,No Alley,1,1Fam,3,1,Unf,0.0,0.0,3,N,Feedr,RRNn,SBrkr,1,3,3,MetalSd,MetalSd,No Fence,3.4429619746497666,0,BrkTil,1,Typ,240.0,1.0,3,Unf,2,Detchd,1920.0,520,0,GasA,2,1Story,30,2,Lvl,Gtl,6324,Inside,60.0,IR1,30,RM,0.0,None,No Shed,5,BrkSide,0,6,4,Y,0,CompShg,Gable,Normal,11.134589024250317,WD,0,Pave,4,520.0,1,1927,1950,2008
30,649,668,0,Pave,3,1Fam,3,1,Unf,0.0,0.0,3,N,Feedr,Norm,SBrkr,1,2,3,BrkFace,BrkFace,MnPrv,3.4429619746497666,0,BrkTil,1,Typ,250.0,1.0,2,Unf,3,Detchd,1920.0,1317,0,GasA,3,2Story,31,3,Lvl,Gtl,8500,Inside,50.0,Reg,70,C (all),0.0,None,No Shed,7,IDOTRR,1,4,4,N,0,CompShg,Gambrel,Normal,10.596634733096073,WD,0,Pave,6,649.0,0,1920,1950,2008
31,1228,0,0,No Alley,3,1Fam,3,1,Unf,0.0,0.0,3,Y,Norm,Norm,SBrkr,0,3,3,HdBoard,HdBoard,MnPrv,3.4429619746497666,0,CBlock,1,Typ,271.0,1.0,3,Unf,3,Attchd,1966.0,1228,1,GasA,4,1Story,32,4,Lvl,Gtl,8544,CulDSac,72.0,IR1,20,RL,0.0,None,No Shed,6,Sawyer,1,6,5,Y,0,CompShg,Gable,Normal,11.914047823644255,WD,0,Pave,6,1228.0,0,1966,2006,2008
32,1234,0,0,No Alley,3,1Fam,3,3,Unf,0.0,0.0,5,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,3.4429619746497666,0,PConc,2,Typ,484.0,2.0,3,RFn,3,Attchd,2007.0,1234,0,GasA,5,1Story,33,4,Lvl,Gtl,11049,Corner,85.0,Reg,20,RL,0.0,None,No Shed,1,CollgCr,1,5,8,Y,0,CompShg,Gable,Normal,12.100156419938624,WD,0,Pave,7,1234.0,0,2007,2007,2008
33,1700,0,0,No Alley,4,1Fam,3,1,Rec,0.0,1.0,3,Y,Norm,Norm,SBrkr,0,3,3,BrkFace,BrkFace,No Fence,4,1,CBlock,1,Typ,447.0,2.0,3,RFn,3,Attchd,1959.0,1700,1,GasA,4,1Story,34,4,Lvl,Gtl,10552,Inside,70.0,IR1,20,RL,0.0,None,No Shed,4,NAmes,1,5,5,Y,0,CompShg,Hip,Normal,12.016726473799254,WD,0,Pave,6,1398.0,0,1959,1959,2010
34,1561,0,0,No Alley,2,TwnhsE,3,1,GLQ,1.0,0.0,5,Y,Norm,Norm,SBrkr,0,3,5,MetalSd,MetalSd,No Fence,4,1,PConc,2,Typ,556.0,2.0,3,Fin,3,Attchd,2005.0,1561,0,GasA,5,1Story,35,5,Lvl,Gtl,7313,Inside,60.0,Reg,120,RL,246.0,BrkFace,No Shed,8,NridgHt,1,5,9,Y,0,CompShg,Hip,Normal,12.533576212168626,WD,0,Pave,6,1561.0,1,2005,2005,2007
35,1132,1320,0,No Alley,4,1Fam,3,3,Unf,0.0,0.0,5,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4,1,PConc,3,Typ,691.0,3.0,3,Fin,3,BuiltIn,2004.0,2452,1,GasA,5,2Story,36,4,Lvl,Gtl,13418,Inside,108.0,Reg,60,RL,132.0,Stone,No Shed,9,NridgHt,1,5,8,Y,0,CompShg,Gable,Normal,12.641096555879882,WD,0,Pave,9,1117.0,1,2004,2005,2006
36,1097,0,0,No Alley,3,1Fam,3,1,Unf,0.0,0.0,4,Y,Norm,Norm,SBrkr,0,3,3,VinylSd,VinylSd,No Fence,3.4429619746497666,0,PConc,1,Typ,672.0,2.0,3,Unf,3,Attchd,1995.0,1097,1,GasA,5,1Story,37,3,Lvl,Gtl,10859,Corner,112.0,Reg,20,RL,0.0,None,No Shed,6,CollgCr,1,5,5,Y,0,CompShg,Gable,Normal,11.884489021402711,WD,0,Pave,6,1097.0,1,1994,1995,2009
37,1297,0,0,No Alley,3,1Fam,3,1,Rec,0.0,1.0,3,Y,Norm,Norm,SBrkr,0,3,3,Wd Sdng,Wd Sdng,No Fence,3,1,CBlock,1,Typ,498.0,2.0,3,Fin,3,Attchd,1954.0,1297,0,GasA,4,1Story,38,3,Lvl,Gtl,8532,Inside,74.0,Reg,20,RL,650.0,BrkFace,No Shed,10,NAmes,0,6,5,Y,0,CompShg,Hip,Normal,11.938193200374572,WD,0,Pave,5,1297.0,0,1954,1990,2009
38,1057,0,0,No Alley,3,1Fam,3,1,GLQ,1.0,0.0,3,Y,Norm,Norm,SBrkr,0,4,3,VinylSd,VinylSd,No Fence,3.4429619746497666,0,CBlock,1,Typ,246.0,1.0,3,Unf,3,Detchd,1953.0,1057,0,GasA,3,1Story,39,4,Lvl,Gtl,7922,Inside,68.0,Reg,20,RL,0.0,None,No Shed,1,NAmes,1,7,5,Y,0,CompShg,Gable,Abnorml,11.59910316121128,WD,0,Pave,5,1057.0,0,1953,2007,2010
39,1152,0,0,No Alley,2,Duplex,3.0028198801550934,1.6707789918928446,No Basement,0.0,0.0,3.576814658210007,N,Norm,Norm,FuseP,0,3,3,AsbShng,Plywood,No Fence,3.4429619746497666,0,PConc,2,Typ,0.0,0.0,2.9706521739130434,No Garage,2.96231884057971,No Garage,1978.1134057971014,1152,0,GasA,3,1Story,40,2,Lvl,Gtl,6040,Inside,65.0,Reg,90,RL,0.0,None,No Shed,6,Edwards,0,5,4,N,0,CompShg,Gable,AdjLand,11.314474526246391,WD,0,Pave,6,0.0,0,1955,1955,2008
40,1324,0,0,No Alley,3,1Fam,3,1,Rec,0.0,0.0,3,Y,Norm,Norm,SBrkr,0,3,3,Wd Sdng,Wd Sdng,GdWo,3,1,CBlock,2,Typ,440.0,2.0,3,RFn,3,Attchd,1965.0,1324,0,GasA,5,1Story,41,3,Lvl,Gtl,8658,Inside,84.0,Reg,20,RL,101.0,BrkFace,No Shed,12,NAmes,1,5,6,Y,0,CompShg,Gable,Abnorml,11.982929094215963,WD,0,Pave,6,1088.0,0,1965,1965,2006
41,1328,0,0,No Alley,2,1Fam,3,4,BLQ,0.0,1.0,3,Y,Norm,Norm,SBrkr,0,4,3,VinylSd,VinylSd,No Fence,4,2,CBlock,1,Typ,308.0,1.0,3,RFn,3,Attchd,1959.0,1328,1,GasA,4,1Story,42,3,Lvl,Gtl,16905,Inside,115.0,Reg,20,RL,0.0,None,No Shed,7,Timber,1,6,5,P,0,CompShg,Gable,Normal,12.043553716032399,WD,0,Pave,5,1350.0,0,1959,1959,2007
42,884,0,0,No Alley,2,1Fam,3,3,ALQ,1.0,0.0,4,Y,Norm,Norm,SBrkr,0,3,3,HdBoard,HdBoard,MnPrv,3.4429619746497666,0,CBlock,1,Typ,504.0,2.0,4,RFn,3,Attchd,1983.0,884,0,GasA,4,SFoyer,43,4,Lvl,Gtl,9180,CulDSac,67.0,IR1,85,RL,0.0,None,No Shed,12,SawyerW,0,7,5,Y,0,CompShg,Gable,Normal,11.877568578558138,WD,0,Pave,5,840.0,1,1983,1983,2007
43,938,0,0,No Alley,3,1Fam,3,3,LwQ,1.0,0.0,4,Y,Norm,Norm,SBrkr,0,3,3,VinylSd,VinylSd,MnPrv,3.4429619746497666,0,CBlock,1,Typ,308.0,1.0,3,Unf,3,Detchd,1977.0,938,0,GasA,3,1Story,44,3,Lvl,Gtl,9200,CulDSac,70.0,IR1,20,RL,0.0,None,No Shed,7,CollgCr,0,6,5,Y,0,CompShg,Hip,Normal,11.777210959615614,WD,0,Pave,5,938.0,1,1975,1980,2008
44,1150,0,0,No Alley,3,1Fam,3,1,ALQ,1.0,0.0,3,Y,Norm,Norm,FuseA,0,3,3,BrkFace,Wd Sdng,No Fence,3.4429619746497666,0,CBlock,1,Typ,300.0,1.0,3,RFn,3,Attchd,1959.0,1150,0,GasA,5,1Story,45,3,Lvl,Gtl,7945,Inside,70.0,Reg,20,RL,0.0,None,No Shed,5,NAmes,0,6,5,Y,0,CompShg,Gable,Normal,11.856515169360305,WD,0,Pave,6,1150.0,0,1959,1959,2006
45,1752,0,0,No Alley,2,TwnhsE,3,1,GLQ,1.0,0.0,5,Y,Norm,Norm,SBrkr,0,3,5,MetalSd,MetalSd,No Fence,4,1,PConc,2,Typ,576.0,2.0,3,RFn,3,Attchd,2005.0,1752,0,GasA,5,1Story,46,5,Lvl,Gtl,7658,Inside,61.0,Reg,120,RL,412.0,BrkFace,No Shed,2,NridgHt,1,5,9,Y,0,CompShg,Hip,Normal,12.675763725937609,WD,0,Pave,6,1752.0,1,2005,2005,2010
46,1518,631,0,No Alley,1,1Fam,3,1,GLQ,1.0,0.0,5,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,5,1,PConc,1,Typ,670.0,2.0,3,RFn,3,Attchd,2003.0,2149,1,GasA,5,1.5Fin,47,4,Lvl,Gtl,12822,CulDSac,48.0,IR1,50,RL,0.0,None,No Shed,8,Mitchel,1,5,7,Y,0,CompShg,Gable,Abnorml,12.387085012375499,WD,1,Pave,6,1434.0,1,2003,2003,2009
47,1656,0,0,No Alley,3,1Fam,3,3,GLQ,0.0,0.0,4,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,3.4429619746497666,0,PConc,2,Typ,826.0,3.0,3,RFn,3,Attchd,2006.0,1656,0,GasA,5,1Story,48,4,Lvl,Gtl,11096,Inside,84.0,Reg,20,FV,0.0,None,No Shed,7,Somerst,1,5,8,Y,0,CompShg,Gable,Normal,12.428015476267865,WD,0,Pave,7,1656.0,0,2006,2006,2007
48,736,716,0,No Alley,2,2fmCon,3,1,Unf,0.0,0.0,3,Y,Norm,Norm,SBrkr,1,3,3,MetalSd,MetalSd,No Fence,3.4429619746497666,0,BrkTil,2,Typ,0.0,0.0,2.9706521739130434,No Garage,2.96231884057971,No Garage,1978.1134057971014,1452,0,GasA,4,2Story,49,3,Lvl,Gtl,4456,Inside,33.0,Reg,190,RM,0.0,None,No Shed,6,OldTown,0,5,4,N,0,CompShg,Gable,Partial,11.635143097694478,New,0,Pave,8,736.0,0,1920,2008,2009
49,955,0,0,No Alley,3,1Fam,3,1,BLQ,1.0,0.0,3,Y,Norm,Norm,SBrkr,0,3,3,HdBoard,HdBoard,MnPrv,3.4429619746497666,0,CBlock,1,Typ,386.0,1.0,3,Unf,3,Attchd,1966.0,955,0,GasA,5,1Story,50,3,Lvl,Gtl,7742,Inside,66.0,Reg,20,RL,0.0,None,No Shed,1,Sawyer,0,7,5,Y,0,CompShg,Gable,Normal,11.751942365440728,WD,0,Pave,6,955.0,0,1966,1966,2007
50,794,676,0,No Alley,3,1Fam,3,3,GLQ,0.0,1.0,4,Y,Norm,Norm,SBrkr,0,3,3,VinylSd,VinylSd,No Fence,3.4429619746497666,0,PConc,2,Typ,388.0,2.0,3,Fin,3,Attchd,1997.0,1470,0,GasA,4,2Story,51,3,Lvl,Gtl,13869,Corner,64.0,IR2,60,RL,0.0,None,No Shed,7,Gilbert,1,6,6,Y,0,CompShg,Gable,Normal,12.083905011555967,WD,0,Pave,6,794.0,0,1997,1997,2007
