Id,Unnamed: 0,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinType1,BsmtQual,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,Heating,HeatingQC,HouseStyle,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,Street,TotRmsAbvGrd,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,TotalSF,TotalBaths
11,10,0,No Alley,3,1Fam,3.0,1.0,Rec,3.0,Y,Norm,Norm,SBrkr,0,3,3,HdBoard,HdBoard,No Fence,3.4429619746497666,0,CBlock,Typ,384.0,1.0,3.0,Unf,3.0,Detchd,1965.0,1040,GasA,5,1Story,3.0,Lvl,Gtl,11200,Inside,70.0,Reg,20,RL,0.0,None,No Shed,2,Sawyer,0,5,5,Y,0,CompShg,Hip,Normal,11.771436160121727,WD,0,Pave,5,0,1965,1965,2008,2080.0,2.0
12,11,0,No Alley,4,1Fam,3.0,1.0,GLQ,5.0,Y,Norm,Norm,SBrkr,0,3,5,WdShing,Wd Shng,No Fence,4.0,2,PConc,Typ,736.0,3.0,3.0,Fin,3.0,BuiltIn,2005.0,2324,GasA,5,2Story,5.0,Lvl,Gtl,11924,Inside,85.0,IR1,60,RL,286.0,Stone,No Shed,7,NridgHt,1,5,9,Y,0,CompShg,Hip,Partial,12.751299696013493,New,0,Pave,11,1,2005,2006,2006,3499.0,4.0
13,12,0,No Alley,2,1Fam,3.0,1.0,ALQ,3.0,Y,Norm,Norm,SBrkr,0,3,3,HdBoard,Plywood,No Fence,3.4429619746497666,0,CBlock,Typ,352.0,1.0,3.0,Unf,3.0,Detchd,1962.0,912,GasA,3,1Story,3.0,Lvl,Gtl,12968,Inside,72.0,IR2,20,RL,0.0,None,No Shed,9,Sawyer,0,6,5,Y,0,CompShg,Hip,Normal,11.877568578558137,WD,1,Pave,4,1,1962,1962,2008,1824.0,2.0
14,13,0,No Alley,3,1Fam,3.0,3.0,Unf,4.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4.0,1,PConc,Typ,840.0,3.0,3.0,RFn,3.0,Attchd,2006.0,1494,GasA,5,1Story,4.0,Lvl,Gtl,10652,Inside,91.0,IR1,20,RL,306.0,Stone,No Shed,8,CollgCr,1,5,7,Y,0,CompShg,Gable,Partial,12.540757571577293,New,0,Pave,7,1,2006,2007,2007,2988.0,2.0
15,14,0,No Alley,2,1Fam,3.0,1.0,BLQ,3.0,Y,Norm,Norm,SBrkr,1,3,3,MetalSd,MetalSd,GdWo,2.0,1,CBlock,Typ,352.0,1.0,3.0,RFn,3.0,Attchd,1960.0,1253,GasA,3,1Story,3.0,Lvl,Gtl,10920,Corner,73.0,IR1,20,RL,212.0,BrkFace,No Shed,5,NAmes,1,5,6,Y,0,CompShg,Hip,Normal,11.964001084330445,WD,0,Pave,5,0,1960,1960,2008,2506.0,2.5
16,15,0,No Alley,2,1Fam,3.0,1.0,Unf,3.0,Y,Norm,Norm,FuseA,0,3,3,Wd Sdng,Wd Sdng,GdPrv,3.4429619746497666,0,BrkTil,Typ,576.0,2.0,3.0,Unf,3.0,Detchd,1991.0,854,GasA,5,1.5Unf,3.0,Lvl,Gtl,6120,Corner,51.0,Reg,45,RM,0.0,None,No Shed,7,BrkSide,1,8,7,Y,0,CompShg,Gable,Normal,11.790557201568507,WD,0,Pave,5,1,1929,2001,2007,1686.0,1.0
17,16,0,No Alley,2,1Fam,3.0,1.0,ALQ,3.0,Y,Norm,Norm,SBrkr,0,3,3,Wd Sdng,Wd Sdng,No Fence,3.0,1,CBlock,Typ,480.0,2.0,3.0,Fin,3.0,Attchd,1970.0,1004,GasA,5,1Story,3.0,Lvl,Gtl,11241,CulDSac,73.0,IR1,20,RL,180.0,BrkFace,Shed,3,NAmes,0,7,6,Y,0,CompShg,Gable,Normal,11.911701584927595,WD,0,Pave,5,0,1970,1970,2010,2008.0,2.0
18,17,0,No Alley,2,Duplex,3.0028198801550934,1.6707789918928446,No Basement,3.576814658210007,Y,Norm,Norm,SBrkr,0,3,3,MetalSd,MetalSd,No Fence,3.4429619746497666,0,Slab,Typ,516.0,2.0,3.0,Unf,3.0,CarPort,1967.0,1296,GasA,3,1Story,3.0,Lvl,Gtl,10791,Inside,72.0,Reg,90,RL,0.0,None,Shed,10,Sawyer,0,5,4,Y,0,CompShg,Gable,Normal,11.407564949312404,WD,0,Pave,6,0,1967,1967,2006,1296.0,2.0
19,18,0,No Alley,3,1Fam,3.0,1.0,GLQ,3.0,Y,RRAe,Norm,SBrkr,0,3,3,VinylSd,VinylSd,No Fence,3.4429619746497666,0,PConc,Typ,576.0,2.0,3.0,Unf,3.0,Detchd,2004.0,1114,GasA,5,1Story,4.0,Lvl,Gtl,13695,Inside,66.0,Reg,20,RL,0.0,None,No Shed,6,SawyerW,1,5,5,Y,0,CompShg,Gable,Normal,11.976659481202367,WD,0,Pave,6,0,2004,2004,2008,2228.0,2.5
20,19,0,No Alley,3,1Fam,3.0,1.0,LwQ,3.0,Y,Norm,Norm,SBrkr,0,3,3,BrkFace,Plywood,MnPrv,3.4429619746497666,0,CBlock,Min1,294.0,1.0,3.0,Unf,3.0,Attchd,1958.0,1339,GasA,3,1Story,3.0,Lvl,Gtl,7560,Inside,70.0,Reg,20,RL,0.0,None,No Shed,5,NAmes,0,6,5,Y,0,CompShg,Hip,Abnorml,11.842229212112827,COD,0,Pave,6,0,1958,1965,2009,2368.0,1.0
21,20,0,No Alley,4,1Fam,3.0,3.0,Unf,5.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4.0,1,PConc,Typ,853.0,3.0,3.0,RFn,3.0,BuiltIn,2005.0,2376,GasA,5,2Story,4.0,Lvl,Gtl,14215,Corner,101.0,IR1,60,RL,380.0,BrkFace,No Shed,11,NridgHt,1,5,8,Y,0,CompShg,Gable,Partial,12.692503112461445,New,0,Pave,9,1,2005,2006,2006,3534.0,3.5
22,21,0,Grvl,3,1Fam,3.0,1.0,Unf,3.0,Y,Norm,Norm,FuseF,1,3,3,Wd Sdng,Wd Sdng,GdPrv,4.0,1,PConc,Typ,280.0,1.0,3.0,Unf,3.0,Attchd,1930.0,1108,GasA,5,1.5Unf,4.0,Bnk,Gtl,7449,Inside,57.0,Reg,45,RM,0.0,None,No Shed,6,IDOTRR,0,7,7,N,0,CompShg,Gable,Normal,11.84510277730856,WD,0,Pave,6,0,1930,1950,2007,1745.0,1.0
23,22,0,No Alley,3,1Fam,3.0,1.0,Unf,4.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4.0,1,PConc,Typ,534.0,2.0,3.0,RFn,3.0,Attchd,2002.0,1795,GasA,5,1Story,4.0,Lvl,Gtl,9742,Inside,75.0,Reg,20,RL,281.0,BrkFace,No Shed,9,CollgCr,1,5,8,Y,0,CompShg,Hip,Normal,12.345834587905333,WD,0,Pave,7,1,2002,2002,2008,3572.0,2.0
24,23,0,No Alley,3,TwnhsE,3.0,1.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,3,3,CemntBd,CmentBd,No Fence,3.0,1,PConc,Typ,572.0,2.0,3.0,Unf,3.0,Attchd,1976.0,1060,GasA,3,1Story,3.0,Lvl,Gtl,4224,Inside,44.0,Reg,120,RM,0.0,None,No Shed,6,MeadowV,1,7,5,Y,0,CompShg,Gable,Normal,11.774520202658689,WD,0,Pave,6,1,1976,1976,2007,2100.0,2.0
25,24,0,No Alley,3,1Fam,3.0,2.0,Rec,3.0,Y,Norm,Norm,SBrkr,0,4,3,Plywood,Plywood,MnPrv,3.0,1,CBlock,Typ,270.0,1.0,3.0,Unf,3.0,Attchd,1968.0,1060,GasA,5,1Story,4.0,Lvl,Gtl,8246,Inside,72.0,IR1,20,RL,0.0,None,No Shed,5,Sawyer,1,8,5,Y,0,CompShg,Gable,Normal,11.944707881395766,WD,0,Pave,6,1,1968,2001,2010,2120.0,2.0
26,25,0,No Alley,3,1Fam,3.0,1.0,Unf,4.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4.0,1,PConc,Typ,890.0,3.0,3.0,RFn,3.0,Attchd,2007.0,1600,GasA,5,1Story,4.0,Lvl,Gtl,14230,Corner,110.0,Reg,20,RL,640.0,Stone,No Shed,7,NridgHt,1,5,8,Y,0,CompShg,Gable,Normal,12.454103912352162,WD,0,Pave,7,0,2007,2007,2009,3166.0,2.0
27,26,0,No Alley,3,1Fam,3.0,2.0,BLQ,3.0,Y,Norm,Norm,SBrkr,0,3,3,Wd Sdng,Wd Sdng,No Fence,3.4429619746497666,0,CBlock,Typ,576.0,2.0,3.0,Unf,3.0,Detchd,2005.0,900,GasA,3,1Story,4.0,Lvl,Gtl,7200,Corner,60.0,Reg,20,RL,0.0,None,No Shed,5,NAmes,1,7,5,Y,0,CompShg,Gable,Normal,11.811547477460346,WD,0,Pave,5,1,1951,2000,2010,1800.0,1.5
28,27,0,No Alley,3,1Fam,3.0,1.0,GLQ,5.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4.0,1,PConc,Typ,772.0,3.0,3.0,RFn,3.0,Attchd,2008.0,1704,GasA,5,1Story,4.0,Lvl,Gtl,11478,Inside,98.0,Reg,20,RL,200.0,Stone,No Shed,5,NridgHt,1,5,8,Y,0,CompShg,Gable,Normal,12.631340380934516,WD,0,Pave,7,0,2007,2008,2010,3408.0,3.0
29,28,0,No Alley,2,1Fam,3.0,4.0,BLQ,3.0,Y,Norm,Norm,SBrkr,0,3,3,MetalSd,MetalSd,No Fence,4.0,2,CBlock,Typ,319.0,1.0,3.0,RFn,3.0,Attchd,1957.0,1600,GasA,3,1Story,3.0,Lvl,Gtl,16321,CulDSac,47.0,IR1,20,RL,0.0,None,No Shed,12,NAmes,1,6,5,Y,0,CompShg,Gable,Normal,12.24288661865289,WD,0,Pave,6,1,1957,1997,2006,3084.0,2.0
30,29,0,No Alley,1,1Fam,3.0,1.0,Unf,3.0,N,Feedr,RRNn,SBrkr,1,3,3,MetalSd,MetalSd,No Fence,3.4429619746497666,0,BrkTil,Typ,240.0,1.0,3.0,Unf,2.0,Detchd,1920.0,520,GasA,2,1Story,2.0,Lvl,Gtl,6324,Inside,60.0,IR1,30,RM,0.0,None,No Shed,5,BrkSide,0,6,4,Y,0,CompShg,Gable,Normal,11.134589024250317,WD,0,Pave,4,1,1927,1950,2008,1040.0,1.0
31,30,0,Pave,3,1Fam,3.0,1.0,Unf,3.0,N,Feedr,Norm,SBrkr,1,2,3,BrkFace,BrkFace,MnPrv,3.4429619746497666,0,BrkTil,Typ,250.0,1.0,2.0,Unf,3.0,Detchd,1920.0,1317,GasA,3,2Story,3.0,Lvl,Gtl,8500,Inside,50.0,Reg,70,C (all),0.0,None,No Shed,7,IDOTRR,1,4,4,N,0,CompShg,Gambrel,Normal,10.596634733096073,WD,0,Pave,6,0,1920,1950,2008,1966.0,1.0
32,31,0,No Alley,3,1Fam,3.0,1.0,Unf,3.0,Y,Norm,Norm,SBrkr,0,3,3,HdBoard,HdBoard,MnPrv,3.4429619746497666,0,CBlock,Typ,271.0,1.0,3.0,Unf,3.0,Attchd,1966.0,1228,GasA,4,1Story,4.0,Lvl,Gtl,8544,CulDSac,72.0,IR1,20,RL,0.0,None,No Shed,6,Sawyer,1,6,5,Y,0,CompShg,Gable,Normal,11.914047823644257,WD,0,Pave,6,0,1966,2006,2008,2456.0,1.5
33,32,0,No Alley,3,1Fam,3.0,3.0,Unf,5.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,3.4429619746497666,0,PConc,Typ,484.0,2.0,3.0,RFn,3.0,Attchd,2007.0,1234,GasA,5,1Story,4.0,Lvl,Gtl,11049,Corner,85.0,Reg,20,RL,0.0,None,No Shed,1,CollgCr,1,5,8,Y,0,CompShg,Gable,Normal,12.100156419938624,WD,0,Pave,7,0,2007,2007,2008,2468.0,2.0
34,33,0,No Alley,4,1Fam,3.0,1.0,Rec,3.0,Y,Norm,Norm,SBrkr,0,3,3,BrkFace,BrkFace,No Fence,4.0,1,CBlock,Typ,447.0,2.0,3.0,RFn,3.0,Attchd,1959.0,1700,GasA,4,1Story,4.0,Lvl,Gtl,10552,Inside,70.0,IR1,20,RL,0.0,None,No Shed,4,NAmes,1,5,5,Y,0,CompShg,Hip,Normal,12.016726473799254,WD,0,Pave,6,0,1959,1959,2010,3098.0,2.0
35,34,0,No Alley,2,TwnhsE,3.0,1.0,GLQ,5.0,Y,Norm,Norm,SBrkr,0,3,5,MetalSd,MetalSd,No Fence,4.0,1,PConc,Typ,556.0,2.0,3.0,Fin,3.0,Attchd,2005.0,1561,GasA,5,1Story,5.0,Lvl,Gtl,7313,Inside,60.0,Reg,120,RL,246.0,BrkFace,No Shed,8,NridgHt,1,5,9,Y,0,CompShg,Hip,Normal,12.533576212168624,WD,0,Pave,6,1,2005,2005,2007,3122.0,3.0
36,35,0,No Alley,4,1Fam,3.0,3.0,Unf,5.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4.0,1,PConc,Typ,691.0,3.0,3.0,Fin,3.0,BuiltIn,2004.0,2452,GasA,5,2Story,4.0,Lvl,Gtl,13418,Inside,108.0,Reg,60,RL,132.0,Stone,No Shed,9,NridgHt,1,5,8,Y,0,CompShg,Gable,Normal,12.641096555879884,WD,0,Pave,9,1,2004,2005,2006,3569.0,3.5
37,36,0,No Alley,3,1Fam,3.0,1.0,Unf,4.0,Y,Norm,Norm,SBrkr,0,3,3,VinylSd,VinylSd,No Fence,3.4429619746497666,0,PConc,Typ,672.0,2.0,3.0,Unf,3.0,Attchd,1995.0,1097,GasA,5,1Story,3.0,Lvl,Gtl,10859,Corner,112.0,Reg,20,RL,0.0,None,No Shed,6,CollgCr,1,5,5,Y,0,CompShg,Gable,Normal,11.884489021402711,WD,0,Pave,6,1,1994,1995,2009,2194.0,1.5
38,37,0,No Alley,3,1Fam,3.0,1.0,Rec,3.0,Y,Norm,Norm,SBrkr,0,3,3,Wd Sdng,Wd Sdng,No Fence,3.0,1,CBlock,Typ,498.0,2.0,3.0,Fin,3.0,Attchd,1954.0,1297,GasA,4,1Story,3.0,Lvl,Gtl,8532,Inside,74.0,Reg,20,RL,650.0,BrkFace,No Shed,10,NAmes,0,6,5,Y,0,CompShg,Hip,Normal,11.938193200374572,WD,0,Pave,5,0,1954,1990,2009,2594.0,1.5
39,38,0,No Alley,3,1Fam,3.0,1.0,GLQ,3.0,Y,Norm,Norm,SBrkr,0,4,3,VinylSd,VinylSd,No Fence,3.4429619746497666,0,CBlock,Typ,246.0,1.0,3.0,Unf,3.0,Detchd,1953.0,1057,GasA,3,1Story,4.0,Lvl,Gtl,7922,Inside,68.0,Reg,20,RL,0.0,None,No Shed,1,NAmes,1,7,5,Y,0,CompShg,Gable,Abnorml,11.599103161211278,WD,0,Pave,5,0,1953,2007,2010,2114.0,2.0
40,39,0,No Alley,2,Duplex,3.0028198801550934,1.6707789918928446,No Basement,3.576814658210007,N,Norm,Norm,FuseP,0,3,3,AsbShng,Plywood,No Fence,3.4429619746497666,0,PConc,Typ,0.0,0.0,2.970652173913044,No Garage,2.96231884057971,No Garage,1978.1134057971012,1152,GasA,3,1Story,2.0,Lvl,Gtl,6040,Inside,65.0,Reg,90,RL,0.0,None,No Shed,6,Edwards,0,5,4,N,0,CompShg,Gable,AdjLand,11.314474526246393,WD,0,Pave,6,0,1955,1955,2008,1152.0,2.0
41,40,0,No Alley,3,1Fam,3.0,1.0,Rec,3.0,Y,Norm,Norm,SBrkr,0,3,3,Wd Sdng,Wd Sdng,GdWo,3.0,1,CBlock,Typ,440.0,2.0,3.0,RFn,3.0,Attchd,1965.0,1324,GasA,5,1Story,3.0,Lvl,Gtl,8658,Inside,84.0,Reg,20,RL,101.0,BrkFace,No Shed,12,NAmes,1,5,6,Y,0,CompShg,Gable,Abnorml,11.982929094215965,WD,0,Pave,6,0,1965,1965,2006,2412.0,2.0
42,41,0,No Alley,2,1Fam,3.0,4.0,BLQ,3.0,Y,Norm,Norm,SBrkr,0,4,3,VinylSd,VinylSd,No Fence,4.0,2,CBlock,Typ,308.0,1.0,3.0,RFn,3.0,Attchd,1959.0,1328,GasA,4,1Story,3.0,Lvl,Gtl,16905,Inside,115.0,Reg,20,RL,0.0,None,No Shed,7,Timber,1,6,5,P,0,CompShg,Gable,Normal,12.0435537160324,WD,0,Pave,5,0,1959,1959,2007,2678.0,2.0
43,42,0,No Alley,2,1Fam,3.0,3.0,ALQ,4.0,Y,Norm,Norm,SBrkr,0,3,3,HdBoard,HdBoard,MnPrv,3.4429619746497666,0,CBlock,Typ,504.0,2.0,4.0,RFn,3.0,Attchd,1983.0,884,GasA,4,SFoyer,4.0,Lvl,Gtl,9180,CulDSac,67.0,IR1,85,RL,0.0,None,No Shed,12,SawyerW,0,7,5,Y,0,CompShg,Gable,Normal,11.877568578558137,WD,0,Pave,5,1,1983,1983,2007,1724.0,2.0
44,43,0,No Alley,3,1Fam,3.0,3.0,LwQ,4.0,Y,Norm,Norm,SBrkr,0,3,3,VinylSd,VinylSd,MnPrv,3.4429619746497666,0,CBlock,Typ,308.0,1.0,3.0,Unf,3.0,Detchd,1977.0,938,GasA,3,1Story,3.0,Lvl,Gtl,9200,CulDSac,70.0,IR1,20,RL,0.0,None,No Shed,7,CollgCr,0,6,5,Y,0,CompShg,Hip,Normal,11.777210959615614,WD,0,Pave,5,1,1975,1980,2008,1876.0,2.0
45,44,0,No Alley,3,1Fam,3.0,1.0,ALQ,3.0,Y,Norm,Norm,FuseA,0,3,3,BrkFace,Wd Sdng,No Fence,3.4429619746497666,0,CBlock,Typ,300.0,1.0,3.0,RFn,3.0,Attchd,1959.0,1150,GasA,5,1Story,3.0,Lvl,Gtl,7945,Inside,70.0,Reg,20,RL,0.0,None,No Shed,5,NAmes,0,6,5,Y,0,CompShg,Gable,Normal,11.856515169360303,WD,0,Pave,6,0,1959,1959,2006,2300.0,2.0
46,45,0,No Alley,2,TwnhsE,3.0,1.0,GLQ,5.0,Y,Norm,Norm,SBrkr,0,3,5,MetalSd,MetalSd,No Fence,4.0,1,PConc,Typ,576.0,2.0,3.0,RFn,3.0,Attchd,2005.0,1752,GasA,5,1Story,5.0,Lvl,Gtl,7658,Inside,61.0,Reg,120,RL,412.0,BrkFace,No Shed,2,NridgHt,1,5,9,Y,0,CompShg,Hip,Normal,12.675763725937607,WD,0,Pave,6,1,2005,2005,2010,3504.0,3.0
47,46,0,No Alley,1,1Fam,3.0,1.0,GLQ,5.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,5.0,1,PConc,Typ,670.0,2.0,3.0,RFn,3.0,Attchd,2003.0,2149,GasA,5,1.5Fin,4.0,Lvl,Gtl,12822,CulDSac,48.0,IR1,50,RL,0.0,None,No Shed,8,Mitchel,1,5,7,Y,0,CompShg,Gable,Abnorml,12.3870850123755,WD,1,Pave,6,1,2003,2003,2009,3583.0,2.5
48,47,0,No Alley,3,1Fam,3.0,3.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,3.4429619746497666,0,PConc,Typ,826.0,3.0,3.0,RFn,3.0,Attchd,2006.0,1656,GasA,5,1Story,4.0,Lvl,Gtl,11096,Inside,84.0,Reg,20,FV,0.0,None,No Shed,7,Somerst,1,5,8,Y,0,CompShg,Gable,Normal,12.428015476267865,WD,0,Pave,7,0,2006,2006,2007,3312.0,2.0
49,48,0,No Alley,2,2fmCon,3.0,1.0,Unf,3.0,Y,Norm,Norm,SBrkr,1,3,3,MetalSd,MetalSd,No Fence,3.4429619746497666,0,BrkTil,Typ,0.0,0.0,2.970652173913044,No Garage,2.96231884057971,No Garage,1978.1134057971012,1452,GasA,4,2Story,3.0,Lvl,Gtl,4456,Inside,33.0,Reg,190,RM,0.0,None,No Shed,6,OldTown,0,5,4,N,0,CompShg,Gable,Partial,11.635143097694476,New,0,Pave,8,0,1920,2008,2009,2188.0,2.0
50,49,0,No Alley,3,1Fam,3.0,1.0,BLQ,3.0,Y,Norm,Norm,SBrkr,0,3,3,HdBoard,HdBoard,MnPrv,3.4429619746497666,0,CBlock,Typ,386.0,1.0,3.0,Unf,3.0,Attchd,1966.0,955,GasA,5,1Story,3.0,Lvl,Gtl,7742,Inside,66.0,Reg,20,RL,0.0,None,No Shed,1,Sawyer,0,7,5,Y,0,CompShg,Gable,Normal,11.751942365440726,WD,0,Pave,6,0,1966,1966,2007,1910.0,2.0
51,50,0,No Alley,3,1Fam,3.0,3.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,3,3,VinylSd,VinylSd,No Fence,3.4429619746497666,0,PConc,Typ,388.0,2.0,3.0,Fin,3.0,Attchd,1997.0,1470,GasA,4,2Story,3.0,Lvl,Gtl,13869,Corner,64.0,IR2,60,RL,0.0,None,No Shed,7,Gilbert,1,6,6,Y,0,CompShg,Gable,Normal,12.083905011555967,WD,0,Pave,6,0,1997,1997,2007,2264.0,2.5
