,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice
10,11,20,RL,70.0,11200,Pave,No Alley,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,Rec,1040,GasA,5,Y,SBrkr,1040,0,1040,1,0,1,0,3,3,5,Typ,0,3.461038961038961,Detchd,1965.0,Unf,1,384,3,3,Y,0,0,0,0,0,0,No Fence,No Shed,2,2008,WD,Normal,11.771436160121729
11,12,60,RL,85.0,11924,Pave,No Alley,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5,3,1,GLQ,1175,GasA,5,Y,SBrkr,1182,1142,2324,1,0,3,0,4,5,11,Typ,2,4,BuiltIn,2005.0,Fin,3,736,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,7,2006,New,Partial,12.751299696013497
12,13,20,RL,71.0,12968,Pave,No Alley,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,1,ALQ,912,GasA,3,Y,SBrkr,912,0,912,1,0,1,0,2,3,4,Typ,0,3.461038961038961,Detchd,1962.0,Unf,1,352,3,3,Y,1,0,0,0,1,0,No Fence,No Shed,9,2008,WD,Normal,11.877568578558138
13,14,20,RL,91.0,10652,Pave,No Alley,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,3,Unf,1494,GasA,5,Y,SBrkr,1494,0,1494,0,0,2,0,3,4,7,Typ,1,4,Attchd,2006.0,RFn,3,840,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,8,2007,New,Partial,12.540757571577291
14,15,20,RL,73.0,10920,Pave,No Alley,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,1,BLQ,1253,GasA,3,Y,SBrkr,1253,0,1253,1,0,1,1,2,3,5,Typ,1,2,Attchd,1960.0,RFn,1,352,3,3,Y,0,1,1,0,0,0,GdWo,No Shed,5,2008,WD,Normal,11.964001084330445
15,16,45,RM,51.0,6120,Pave,No Alley,Reg,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,Unf,832,GasA,5,Y,FuseA,854,0,854,0,0,1,0,2,3,5,Typ,0,3.461038961038961,Detchd,1991.0,Unf,2,576,3,3,Y,1,1,0,0,0,0,GdPrv,No Shed,7,2007,WD,Normal,11.790557201568507
16,17,20,RL,73.0,11241,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,1,ALQ,1004,GasA,5,Y,SBrkr,1004,0,1004,1,0,1,0,2,3,5,Typ,1,3,Attchd,1970.0,Fin,2,480,3,3,Y,0,0,0,0,0,0,No Fence,Shed,3,2010,WD,Normal,11.911701584927597
17,18,90,RL,72.0,10791,Pave,No Alley,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,3.5797610681658467,3.011243851018974,1.6736990154711673,No Basement,0,GasA,3,Y,SBrkr,1296,0,1296,0,0,2,0,2,3,6,Typ,0,3.461038961038961,CarPort,1967.0,Unf,2,516,3,3,Y,0,0,0,0,0,0,No Fence,Shed,10,2006,WD,Normal,11.407564949312402
18,19,20,RL,66.0,13695,Pave,No Alley,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,GLQ,1114,GasA,5,Y,SBrkr,1114,0,1114,1,0,1,1,3,4,6,Typ,0,3.461038961038961,Detchd,2004.0,Unf,2,576,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,6,2008,WD,Normal,11.976659481202368
19,20,20,RL,70.0,7560,Pave,No Alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3,3,1,LwQ,1029,GasA,3,Y,SBrkr,1339,0,1339,0,0,1,0,3,3,6,Min1,0,3.461038961038961,Attchd,1958.0,Unf,1,294,3,3,Y,0,0,0,0,0,0,MnPrv,No Shed,5,2009,COD,Abnorml,11.842229212112828
20,21,60,RL,101.0,14215,Pave,No Alley,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,3,Unf,1158,GasA,5,Y,SBrkr,1158,1218,2376,0,0,3,1,4,4,9,Typ,1,4,BuiltIn,2005.0,RFn,3,853,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,11,2006,New,Partial,12.692503112461443
21,22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,1,Unf,637,GasA,5,Y,FuseF,1108,0,1108,0,0,1,0,3,4,6,Typ,1,4,Attchd,1930.0,Unf,1,280,3,3,N,0,0,1,0,0,0,GdPrv,No Shed,6,2007,WD,Normal,11.845102777308561
22,23,20,RL,75.0,9742,Pave,No Alley,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,1,Unf,1777,GasA,5,Y,SBrkr,1795,0,1795,0,0,2,0,3,4,7,Typ,1,4,Attchd,2002.0,RFn,2,534,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,9,2008,WD,Normal,12.345834587905333
23,24,120,RM,44.0,4224,Pave,No Alley,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,1,GLQ,1040,GasA,3,Y,SBrkr,1060,0,1060,1,0,1,0,3,3,6,Typ,1,3,Attchd,1976.0,Unf,2,572,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,6,2007,WD,Normal,11.77452020265869
24,25,20,RL,71.0,8246,Pave,No Alley,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3,3,2,Rec,1060,GasA,5,Y,SBrkr,1060,0,1060,1,0,1,0,3,4,6,Typ,1,3,Attchd,1968.0,Unf,1,270,3,3,Y,1,1,0,0,0,0,MnPrv,No Shed,5,2010,WD,Normal,11.944707881395766
25,26,20,RL,110.0,14230,Pave,No Alley,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4,3,1,Unf,1566,GasA,5,Y,SBrkr,1600,0,1600,0,0,2,0,3,4,7,Typ,1,4,Attchd,2007.0,RFn,3,890,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,7,2009,WD,Normal,12.454103912352162
26,27,20,RL,60.0,7200,Pave,No Alley,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,BLQ,900,GasA,3,Y,SBrkr,900,0,900,0,1,1,0,3,4,5,Typ,0,3.461038961038961,Detchd,2005.0,Unf,2,576,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,5,2010,WD,Normal,11.811547477460344
27,28,20,RL,98.0,11478,Pave,No Alley,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,1,GLQ,1704,GasA,5,Y,SBrkr,1704,0,1704,1,0,2,0,3,4,7,Typ,1,4,Attchd,2008.0,RFn,3,772,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,5,2010,WD,Normal,12.631340380934517
28,29,20,RL,47.0,16321,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,4,BLQ,1484,GasA,3,Y,SBrkr,1600,0,1600,1,0,1,0,2,3,6,Typ,2,4,Attchd,1957.0,RFn,1,319,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,12,2006,WD,Normal,12.24288661865289
29,30,30,RM,60.0,6324,Pave,No Alley,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,Unf,520,GasA,2,N,SBrkr,520,0,520,0,0,1,0,1,2,4,Typ,0,3.461038961038961,Detchd,1920.0,Unf,1,240,2,3,Y,1,0,1,0,0,0,No Fence,No Shed,5,2008,WD,Normal,11.134589024250317
30,31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3,3,1,Unf,649,GasA,3,N,SBrkr,649,668,1317,0,0,1,0,3,3,6,Typ,0,3.461038961038961,Detchd,1920.0,Unf,1,250,3,2,N,0,1,1,0,0,0,MnPrv,No Shed,7,2008,WD,Normal,10.596634733096073
31,32,20,RL,71.0,8544,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,Unf,1228,GasA,4,Y,SBrkr,1228,0,1228,0,0,1,1,3,4,6,Typ,0,3.461038961038961,Attchd,1966.0,Unf,1,271,3,3,Y,0,1,0,0,0,0,MnPrv,No Shed,6,2008,WD,Normal,11.914047823644255
32,33,20,RL,85.0,11049,Pave,No Alley,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,3,Unf,1234,GasA,5,Y,SBrkr,1234,0,1234,0,0,2,0,3,4,7,Typ,0,3.461038961038961,Attchd,2007.0,RFn,2,484,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,1,2008,WD,Normal,12.100156419938624
33,34,20,RL,70.0,10552,Pave,No Alley,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,1,Rec,1398,GasA,4,Y,SBrkr,1700,0,1700,0,1,1,1,4,4,6,Typ,1,4,Attchd,1959.0,RFn,2,447,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,4,2010,WD,Normal,12.016726473799254
34,35,120,RL,60.0,7313,Pave,No Alley,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5,3,1,GLQ,1561,GasA,5,Y,SBrkr,1561,0,1561,1,0,2,0,2,5,6,Typ,1,4,Attchd,2005.0,Fin,2,556,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,8,2007,WD,Normal,12.533576212168626
35,36,60,RL,108.0,13418,Pave,No Alley,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5,3,3,Unf,1117,GasA,5,Y,SBrkr,1132,1320,2452,0,0,3,1,4,4,9,Typ,1,4,BuiltIn,2004.0,Fin,3,691,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,9,2006,WD,Normal,12.641096555879882
36,37,20,RL,112.0,10859,Pave,No Alley,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,Unf,1097,GasA,5,Y,SBrkr,1097,0,1097,0,0,1,1,3,3,6,Typ,0,3.461038961038961,Attchd,1995.0,Unf,2,672,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,6,2009,WD,Normal,11.884489021402711
37,38,20,RL,74.0,8532,Pave,No Alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,1,Rec,1297,GasA,4,Y,SBrkr,1297,0,1297,0,1,1,0,3,3,5,Typ,1,3,Attchd,1954.0,Fin,2,498,3,3,Y,0,0,0,0,0,0,No Fence,No Shed,10,2009,WD,Normal,11.938193200374572
38,39,20,RL,68.0,7922,Pave,No Alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,GLQ,1057,GasA,3,Y,SBrkr,1057,0,1057,1,0,1,0,3,4,5,Typ,0,3.461038961038961,Detchd,1953.0,Unf,1,246,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,1,2010,WD,Abnorml,11.59910316121128
39,40,90,RL,65.0,6040,Pave,No Alley,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,3.5797610681658467,3.011243851018974,1.6736990154711673,No Basement,0,GasA,3,N,FuseP,1152,0,1152,0,0,2,0,2,2,6,Typ,0,3.461038961038961,No Garage,1978.5061638868744,No Garage,0,0,2.975344452501813,2.97389412617839,N,0,0,0,0,0,0,No Fence,No Shed,6,2008,WD,AdjLand,11.314474526246391
40,41,20,RL,84.0,8658,Pave,No Alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3,3,1,Rec,1088,GasA,5,Y,SBrkr,1324,0,1324,0,0,2,0,3,3,6,Typ,1,3,Attchd,1965.0,RFn,2,440,3,3,Y,0,1,0,0,0,0,GdWo,No Shed,12,2006,WD,Abnorml,11.982929094215963
41,42,20,RL,115.0,16905,Pave,No Alley,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,4,BLQ,1350,GasA,4,Y,SBrkr,1328,0,1328,0,1,1,1,2,3,5,Typ,2,4,Attchd,1959.0,RFn,1,308,3,3,P,0,1,0,0,0,0,No Fence,No Shed,7,2007,WD,Normal,12.043553716032399
42,43,85,RL,66.5,9180,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4,3,3,ALQ,840,GasA,4,Y,SBrkr,884,0,884,1,0,1,0,2,4,5,Typ,0,3.461038961038961,Attchd,1983.0,RFn,2,504,3,4,Y,1,0,0,0,0,0,MnPrv,No Shed,12,2007,WD,Normal,11.877568578558138
43,44,20,RL,70.0,9200,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,3,LwQ,938,GasA,3,Y,SBrkr,938,0,938,1,0,1,0,3,3,5,Typ,0,3.461038961038961,Detchd,1977.0,Unf,1,308,3,3,Y,1,0,0,0,0,0,MnPrv,No Shed,7,2008,WD,Normal,11.777210959615614
44,45,20,RL,70.0,7945,Pave,No Alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,ALQ,1150,GasA,5,Y,FuseA,1150,0,1150,1,0,1,0,3,3,6,Typ,0,3.461038961038961,Attchd,1959.0,RFn,1,300,3,3,Y,0,0,0,0,0,0,No Fence,No Shed,5,2006,WD,Normal,11.856515169360305
45,46,120,RL,61.0,7658,Pave,No Alley,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5,3,1,GLQ,1752,GasA,5,Y,SBrkr,1752,0,1752,1,0,2,0,2,5,6,Typ,1,4,Attchd,2005.0,RFn,2,576,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,2,2010,WD,Normal,12.675763725937609
46,47,50,RL,48.0,12822,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,1,GLQ,1434,GasA,5,Y,SBrkr,1518,631,2149,1,0,1,1,1,4,6,Typ,1,5,Attchd,2003.0,RFn,2,670,3,3,Y,1,1,0,0,1,0,No Fence,No Shed,8,2009,WD,Abnorml,12.387085012375499
47,48,20,FV,84.0,11096,Pave,No Alley,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,GLQ,1656,GasA,5,Y,SBrkr,1656,0,1656,0,0,2,0,3,4,7,Typ,0,3.461038961038961,Attchd,2006.0,RFn,3,826,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,7,2007,WD,Normal,12.428015476267865
48,49,190,RM,33.0,4456,Pave,No Alley,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,Unf,736,GasA,4,Y,SBrkr,736,716,1452,0,0,2,0,2,3,8,Typ,0,3.461038961038961,No Garage,1978.5061638868744,No Garage,0,0,2.975344452501813,2.97389412617839,N,0,0,1,0,0,0,No Fence,No Shed,6,2009,New,Partial,11.635143097694478
49,50,20,RL,66.0,7742,Pave,No Alley,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,BLQ,955,GasA,5,Y,SBrkr,955,0,955,1,0,1,0,3,3,6,Typ,0,3.461038961038961,Attchd,1966.0,Unf,1,386,3,3,Y,0,0,0,0,0,0,MnPrv,No Shed,1,2007,WD,Normal,11.751942365440728
50,51,60,RL,65.0,13869,Pave,No Alley,IR2,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,3,GLQ,794,GasA,4,Y,SBrkr,794,676,1470,0,1,2,0,3,3,6,Typ,0,3.461038961038961,Attchd,1997.0,Fin,2,388,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,7,2007,WD,Normal,12.083905011555967
51,52,50,RM,52.0,6240,Pave,No Alley,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,1,Unf,816,GasA,3,Y,SBrkr,816,0,1176,0,0,1,0,3,3,6,Typ,1,4,Detchd,1985.0,Unf,2,528,3,3,Y,1,0,0,0,0,0,MnPrv,Shed,9,2006,WD,Normal,11.648330101976432
52,53,90,RM,110.0,8472,Grvl,No Alley,IR2,Bnk,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,3,CBlock,4,3,4,LwQ,816,GasA,3,N,SBrkr,816,0,816,1,0,1,0,2,3,5,Typ,0,3.461038961038961,CarPort,1963.0,Unf,2,516,3,3,Y,1,0,0,0,0,0,No Fence,No Shed,5,2010,WD,Normal,11.608235644774552
